Qty,Value,Tolerance,Rating,Device,Package,Parts,Description,MF,"Mfr.Part #	",LCSC Number,Price 1,Price 10,Price 100,Price 1000,LCSC Link,Alt Supplier
5,,,50mA @ 24VDC,10-XX,B3F-10XX,"S1, S2, S3, S4, S5",Tactile Switch,Omron Electronics,B3FS-1000P,C271750,0.127517,0.094117,0.08185,0.077783,https://lcsc.com/product-detail/Others_Omron-Electronics-B3FS-1000P_C271750.html,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3FS-1000P/277812?s=N4IgTCBcDaIEIGYBiBlAtARgAw4AogF0BfIA
4,0.1uF,±5%,50V,C-USC0805,C0805,"C1, C2, C6, C7","CAPACITOR, American symbol",HUI JU,NL0805B104J500CPBN,C840115,0.008557,0.008557,0.006391,0.006391,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_HUI-JU-NL0805B104J500CPBN_C840115.html,https://www.digikey.com/en/products/detail/yageo/CC0805JRX7R7BB104/5884101
5,330,±5%,0.125W,R-US_R0805,R0805,"R4, R5, R6, R7, R8","RESISTOR, American symbol",LIZ Elec,CR0805J80331G,C101994,0.001877,0.001877,0.001877,0.001356,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_330R-331-5_C101994.html,https://www.digikey.com/en/products/detail/yageo/RC0805JR-07330RL/728311
3,4.7k,±5%,0.125W,R-US_R0805,R0805,"R1, R2, R3","RESISTOR, American symbol",LIZ Elec,CR0805J80472G,C102017,0.002077,0.002077,0.002077,0.001511,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_4-7KR-472-5_C102017.html,https://www.digikey.com/en/products/detail/yageo/RC0805JR-074K7L/728327
1,,,,ATMEGA328PB-AU,QFP80P900X900X120-32N,U1,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller,Microchip Technology / Atmel,ATMEGA328PB-AU,C132230,1.806667,1.35,1.181667,1.126667,https://lcsc.com/product-detail/MICROCHIP_MICROCHIP_ATMEGA328PB-AU_ATMEGA328PB-AU_C132230.html,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328PB-AU/5638812
1,,,,OLED,,X1,128x32 bit OLED,UG(Univision Semicon),UG-2832ALBMG09,C194626,7.97,7.765,7.765,7.765,https://lcsc.com/product-detail/OLED-Displays-Modules_UG-Univision-Semicon-UG-2832ALBMG09_C194626.html,https://www.digikey.com/en/products/detail/orient-display/AOM12832A0-2-23WW/13150616
1,,,,Accelerometer,LGA-16_3x3mm,U2,"3-Axis, 14-bit/8-bit Digital Accelerometer",Analog Devices,ADXL362BCCZ-RL,C59641,2.643333,2.283333,2.151667,2.085,https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_Analog-Devices_ADXL362BCCZ-RL_Analog-Devices-ADI-LINEAR-ADXL362BCCZ-RL_C59641.html,https://www.digikey.com/en/products/detail/analog-devices-inc/ADXL362BCCZ-R2/3757931?s=N4IgjCBcoLQdIDGUAuAnArgUwDQgPZQDaIArAAykgC6AvrXgEzEgCCAIgBoAyAzAGyMAQgGERALRgAlZnSA
1,,,,Coin Battery,CR2032,,3V Lithium Coin Battery ,Murata Electronics,CR2032,,0.3,0.248,0.2062,0.17195,,https://www.digikey.com/en/products/detail/murata-electronics/CR2032/9558425
1,,,,Coin Battery Holder,,,Coin Battery Holder,Reekart,RK-2032,,,,,,,http://www.reekart.com/products/30-Surface-Mount-Precision-Metal-Stamping-CR2032-Coin-Cell-Battery-Holder-For-MPD-BC-2003-Replacment.html
1,,,,ISP Header ,6 2 right-angle?180degrees 2.54mm,,6-Pin Male Header for ISP,PINREX,210-92-03GB01,C390690,0.019194,0.019194,0.019194,0.013278,https://lcsc.com/product-detail/Pin-Header-Female-Header_PINREX-210-92-03GB01_C390690.html,https://www.digikey.com/en/products/detail/harwin-inc/M20-9980346/3728085
